player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Josip Šutalo,Croatia,Croatia,DF,26-110,2000,Ajax,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,2.0,4.0,-2.0,-2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Joško Gvardiol,Croatia,Croatia,DF,24-146,2002,Manchester City,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,2.0,4.0,-2.0,-2.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Kristijan Jakić,Croatia,Croatia,"DF,MF",29-035,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Modrić,Croatia,Croatia,MF,40-282,1985,Milan,1,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,57.0,63.3,57.0,0,0,,0,0.0,2.0,3.0,-1.0,-1.58,1.15,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Luka Sučić,Croatia,Croatia,"FW,MF",23-283,2002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Vušković,Croatia,Croatia,DF,19-114,2007,Hamburger SV,1,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,65.0,72.2,65.0,0,0,,0,0.0,2.0,3.0,-1.0,-1.38,2.22,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Marco Pašalić,Croatia,Croatia,MF,25-277,2000,Orlando City,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,3.6,3.6,0.0,0.0,25.0,27.8,,0,1,25.0,0,0.0,0.0,1.0,-1.0,-3.6,-2.22,0.0,0.0,0.0,1.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Marin Pongračić,Croatia,Croatia,DF,28-280,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Pašalić,Croatia,Croatia,MF,31-129,1995,Atalanta,1,1,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.17,0.0,0.0,,77.0,85.6,77.0,0,0,,0,0.0,2.0,3.0,-1.0,-1.17,5.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Martin Baturina,Croatia,Croatia,FW,23-122,2003,Como,1,1,77.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.17,0.0,1.17,1.17,1.17,1.0,1.0,100.0,1.17,1.17,1.0,1.0,77.0,85.6,77.0,0,0,,0,0.0,2.0,3.0,-1.0,-1.17,5.75,0.0,0.0,2.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Martin Erlić,Croatia,Croatia,DF,28-145,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateo Kovačić,Croatia,Croatia,MF,32-043,1994,Manchester City,1,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.73,2.73,0.0,0.0,33.0,36.7,,0,1,33.0,0,0.0,0.0,1.0,-1.0,-2.73,-1.15,0.0,1.0,2.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Nikola Moro,Croatia,Croatia,MF,28-098,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Vlašić,Croatia,Croatia,"FW,MF",28-257,1997,Torino,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,13.0,14.4,,0,1,13.0,0,0.0,0.0,1.0,-1.0,-6.92,-5.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Petar Musa,Croatia,Croatia,FW,28-106,1998,FC Dallas,1,1,65.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.38,0.0,1.38,1.38,1.38,1.0,1.0,100.0,1.38,1.38,1.0,1.0,65.0,72.2,65.0,0,0,,0,0.0,2.0,3.0,-1.0,-1.38,2.22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Petar Sučić,Croatia,Croatia,FW,22-236,2003,Inter,1,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,2.0,4.0,-2.0,-2.0,,0.0,2.0,1.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Toni Fruk,Croatia,Croatia,"FW,MF",25-101,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ar'jany Martha,Curaçao,Curaçao,"DF,FW",22-287,2003,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armando Obispo,Curaçao,Curaçao,DF,27-105,1999,PSV,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,7.0,-6.0,-6.0,,0.0,0.0,0.0,1.0,0.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Brandley Kuwas,Curaçao,Curaçao,"FW,MF",33-272,1992,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deveron Fonville,Curaçao,Curaçao,DF,23-033,2003,NEC Nijmegen,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,7.0,-6.0,-6.0,,0.0,1.0,2.0,0.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Eloy Room,Curaçao,Curaçao,GK,37-132,1989,Miami FC,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,7.0,-6.0,-6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90.0,7.0,7.0,10.0,4.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Gervane Kastaneer,Curaçao,Curaçao,"FW,MF",30-009,1996,,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,8.0,8.9,,0,1,8.0,0,0.0,0.0,1.0,-1.0,-11.25,-5.76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Godfried Roemeratoe,Curaçao,Curaçao,MF,26-303,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jearl Margaritha,Curaçao,Curaçao,"FW,MF",26-069,2000,Beveren,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.46,0.0,0.0,,26.0,28.9,,0,1,26.0,0,0.0,0.0,3.0,-3.0,-10.38,-6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Jeremy Antonisse,Curaçao,Curaçao,"FW,MF",24-081,2002,AE Kifisia,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,45.0,50.0,,0,1,45.0,0,0.0,0.0,4.0,-4.0,-8.0,-4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Joshua Brenet,Curaçao,Curaçao,DF,32-090,1994,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juninho Bacuna,Curaçao,Curaçao,MF,28-315,1997,Volendam,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,1.0,7.0,-6.0,-6.0,,0.0,2.0,2.0,0.0,1.0,5.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Juriën Gaari,Curaçao,Curaçao,DF,32-177,1993,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jürgen Locadia,Curaçao,Curaçao,FW,32-223,1993,Miami FC,1,1,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,64.0,71.1,64.0,0,0,,0,0.0,1.0,4.0,-3.0,-4.22,6.17,0.0,1.0,3.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Kenji Gorré,Curaçao,Curaçao,"FW,MF",31-262,1994,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Felida,Curaçao,Curaçao,MF,26-219,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leandro Bacuna,Curaçao,Curaçao,MF,34-301,1991,,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,1.0,7.0,-6.0,-6.0,,0.0,1.0,2.0,0.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Livano Comenencia,Curaçao,Curaçao,MF,22-135,2004,Zürich,1,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,50.0,2.0,1.0,0.5,1.0,90.0,100.0,90.0,1,0,,0,0.0,1.0,7.0,-6.0,-6.0,,0.0,1.0,1.0,0.0,1.0,4.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Riechedly Bazoer,Curaçao,Curaçao,DF,29-249,1996,Konyaspor,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,7.0,-6.0,-6.0,,0.0,2.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Roshon van Eijma,Curaçao,Curaçao,DF,28-009,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherel Floranus,Curaçao,Curaçao,DF,27-299,1998,Zwolle,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,7.0,-6.0,-6.0,,0.0,1.0,0.0,0.0,0.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Shurandy Sambo,Curaçao,Curaçao,DF,24-303,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sontje Hansen,Curaçao,Curaçao,FW,24-031,2002,Middlesbrough,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,45.0,50.0,45.0,0,0,,0,0.0,1.0,3.0,-2.0,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Tahith Chong,Curaçao,Curaçao,MF,26-196,1999,Sheffield United,1,1,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1,0.0,0.0,,82.0,91.1,82.0,0,0,,0,0.0,1.0,6.0,-5.0,-5.49,5.76,0.0,1.0,8.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Trevor Doornbusch,Curaçao,Curaçao,GK,26-347,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrese Noslin,Curaçao,Curaçao,MF,23-280,2002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrick Bodak,Curaçao,Curaçao,GK,24-034,2002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Hložek,Czechia,Czech Republic,"FW,MF",23-328,2002,Hoffenheim,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,6.67,3.33,0.0,0.0,27.0,30.0,,0,1,27.0,0,0.0,0.0,2.0,-2.0,-6.67,-8.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Alexandr Sojka,Czechia,Czech Republic,MF,23-077,2003,Viktoria Plzeň,1,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,83.0,92.2,83.0,0,0,,0,0.0,1.0,2.0,-1.0,-1.08,-1.08,0.0,0.0,1.0,0.0,1.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
David Doudera,Czechia,Czech Republic,"DF,MF",28-018,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Jurásek,Czechia,Czech Republic,"DF,MF",25-315,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Zima,Czechia,Czech Republic,DF,25-222,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denis Višinský,Czechia,Czech Republic,"FW,MF",23-089,2003,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Sochůrek,Czechia,Czech Republic,MF,18-011,2008,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Kuchta,Czechia,Czech Republic,FW,29-161,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaroslav Zelený,Czechia,Czech Republic,MF,33-302,1992,Sparta Prague,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,0.0,0.0,1.0,0.0,3.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Jindřich Staněk,Czechia,Czech Republic,GK,30-052,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladislav Krejčí,Czechia,Czech Republic,DF,27-059,1999,Wolves,1,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,90.0,100.0,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,0.0,3.0,1.0,0.0,1.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Lukáš Horníček,Czechia,Czech Republic,GK,23-340,2002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lukáš Provod,Czechia,Czech Republic,FW,29-238,1996,Slavia Prague,1,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,63.0,70.0,63.0,0,0,,0,0.0,1.0,0.0,1.0,1.43,8.1,0.0,1.0,1.0,1.0,1.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Lukáš Červ,Czechia,Czech Republic,MF,25-069,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kovar,Czechia,Czech Republic,GK,26-032,2000,PSV,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90.0,2.0,2.0,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michal Sadílek,Czechia,Czech Republic,"DF,FW",27-018,1999,Slavia Prague,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,6.67,6.67,0.0,0.0,27.0,30.0,,0,1,27.0,0,0.0,0.0,2.0,-2.0,-6.67,-8.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Mojmír Chytil,Czechia,Czech Republic,FW,27-050,1999,Slavia Prague,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,7.0,7.8,,0,1,7.0,0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Patrik Schick,Czechia,Czech Republic,FW,30-145,1996,Leverkusen,1,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,63.0,70.0,63.0,0,0,,0,0.0,1.0,0.0,1.0,1.43,8.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Pavel Šulc,Czechia,Czech Republic,FW,25-171,2000,Lyon,1,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.43,0.0,0.0,,63.0,70.0,63.0,0,0,,0,0.0,1.0,0.0,1.0,1.43,8.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Robin Hranáč,Czechia,Czech Republic,DF,26-140,2000,Hoffenheim,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Tomáš Chorý,Czechia,Czech Republic,FW,31-143,1995,Slavia Prague,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,27.0,30.0,,0,1,27.0,0,0.0,0.0,2.0,-2.0,-6.67,-8.1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Tomáš Holeš,Czechia,Czech Republic,"DF,MF",33-079,1993,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomáš Souček,Czechia,Czech Republic,MF,31-111,1995,West Ham,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Vladimír Coufal,Czechia,Czech Republic,MF,33-300,1992,Hoffenheim,1,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,0.0,3.0,1.0,0.0,6.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Vladimír Darida,Czechia,Czech Republic,MF,35-314,1990,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Štěpán Chaloupek,Czechia,Czech Republic,DF,23-102,2003,Slavia Prague,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Alban Lafont,Côte d'Ivoire,Côte d'Ivoire,GK,27-146,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amad Diallo,Côte d'Ivoire,Côte d'Ivoire,"FW,MF",23-342,2002,Manchester Utd,1,0,35.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.57,0.0,2.57,2.57,2.57,2.0,2.0,100.0,5.14,5.14,0.5,0.5,35.0,38.9,,0,1,35.0,0,3.0,1.0,0.0,1.0,2.57,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ange-Yoan Bonny,Côte d'Ivoire,Côte d'Ivoire,FW,22-236,2003,Inter,1,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,35.0,38.9,,0,1,35.0,0,3.0,1.0,0.0,1.0,2.57,2.57,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Bazoumana Touré,Côte d'Ivoire,Côte d'Ivoire,MF,20-108,2006,Hoffenheim,1,1,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,55.0,61.1,55.0,0,0,,0,3.0,0.0,0.0,0.0,0.0,-2.57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Christ Inao Oulaï,Côte d'Ivoire,Côte d'Ivoire,MF,20-073,2006,Trabzonspor,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.43,0.0,0.0,,14.0,15.6,,0,1,14.0,0,3.0,1.0,0.0,1.0,6.43,6.43,0.0,1.0,2.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Christopher Opéri,Côte d'Ivoire,Côte d'Ivoire,"DF,MF",29-050,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elye Wahi,Côte d'Ivoire,Côte d'Ivoire,FW,23-167,2003,Nice,1,1,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,3.27,1.64,0.0,0.0,55.0,61.1,55.0,0,0,,0,3.0,0.0,0.0,0.0,0.0,-2.57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Emmanuel Agbadou,Côte d'Ivoire,Côte d'Ivoire,DF,29-001,1997,Beşiktaş,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,3.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
