player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Ivan Šunjić,Bosnia & Herz.,Bosnia and Herzegovina,MF,29-252,1996,,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,17.0,18.9,,0,1,17.0,0,1.0,0.0,1.0,-1.0,-5.29,-6.53,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Jovo Lukić,Bosnia & Herz.,Bosnia and Herzegovina,FW,27-202,1998,Univ. Cluj,1,1,61.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.48,0.0,1.48,1.48,1.48,3.0,2.0,66.7,4.43,2.95,0.33,0.5,61.0,67.8,61.0,0,0,,0,1.0,1.0,0.0,1.0,1.48,4.58,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Kerim Alajbegović,Bosnia & Herz.,Bosnia and Herzegovina,MF,18-270,2007,RB Salzburg,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,17.0,18.9,,0,1,17.0,0,1.0,0.0,1.0,-1.0,-5.29,-6.53,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Martin Zlomislić,Bosnia & Herz.,Bosnia and Herzegovina,GK,27-306,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mladen Jurkas,Bosnia & Herz.,Bosnia and Herzegovina,GK,18-254,2007,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nihad Mujakić,Bosnia & Herz.,Bosnia and Herzegovina,DF,28-064,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Katić,Bosnia & Herz.,Bosnia and Herzegovina,DF,29-251,1996,Schalke 04,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,3.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Nikola Vasilj,Bosnia & Herz.,Bosnia and Herzegovina,GK,30-198,1995,St Pauli,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90.0,1.0,1.0,2.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Samed Baždar,Bosnia & Herz.,Bosnia and Herzegovina,FW,22-138,2004,Gladbach,1,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,29.0,32.2,,0,1,29.0,0,1.0,0.0,1.0,-1.0,-3.1,-4.58,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Sead Kolašinac,Bosnia & Herz.,Bosnia and Herzegovina,DF,32-363,1993,Atalanta,1,1,83.0,0.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,1.08,0.0,1.08,0.0,0.0,,0.0,0.0,,,83.0,92.2,83.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Stjepan Radeljić,Bosnia & Herz.,Bosnia and Herzegovina,DF,28-286,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarik Muharemovic,Bosnia & Herz.,Bosnia and Herzegovina,DF,23-110,2003,Sassuolo,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Alex Sandro,Brazil,Brazil,"DF,MF",35-143,1991,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson,Brazil,Brazil,GK,33-259,1992,Liverpool,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bruno Guimarães,Brazil,Brazil,MF,28-214,1997,Newcastle,1,1,79.0,0.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,1.14,0.0,1.14,1.0,0.0,0.0,1.14,0.0,0.0,,79.0,87.8,79.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Casemiro,Brazil,Brazil,MF,34-115,1992,Manchester Utd,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,45.0,50.0,45.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Danilo,Brazil,Brazil,"DF,MF",34-338,1991,Flamengo,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,45.0,50.0,,0,1,45.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Danilo Santos,Brazil,Brazil,MF,25-050,2001,Botafogo–RJ,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,16.36,8.18,0.0,0.0,11.0,12.2,,0,1,11.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Douglas Santos,Brazil,Brazil,DF,32-088,1994,Zenit,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
Ederson,Brazil,Brazil,GK,32-305,1993,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endrick,Brazil,Brazil,FW,19-332,2006,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabinho,Brazil,Brazil,"DF,MF",32-238,1993,Al-Ittihad,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,45.0,50.0,,0,1,45.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Gabriel Magalhães,Brazil,Brazil,DF,28-181,1997,Arsenal,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Gabriel Martinelli,Brazil,Brazil,"FW,MF",25-000,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gleison Bremer,Brazil,Brazil,DF,29-092,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Thiago,Brazil,Brazil,FW,24-357,2001,Brentford,1,1,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,2.95,1.48,0.0,0.0,61.0,67.8,61.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Lucas Paquetá,Brazil,Brazil,MF,28-295,1997,Flamengo,1,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,3.0,1.5,0.0,0.0,60.0,66.7,60.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Luiz Henrique,Brazil,Brazil,"FW,MF",25-167,2001,Zenit,1,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,29.0,32.2,,0,1,29.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Léo Pereira,Brazil,Brazil,DF,30-138,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquinhos,Brazil,Brazil,DF,32-035,1994,PSG,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
